iter	Passed	Remaining
0	2	2302
1	4	2426
2	6	2274
3	9	2270
4	11	2221
5	14	2438
6	16	2362
7	18	2325
8	21	2417
9	23	2361
10	26	2346
11	27	2303
12	29	2270
13	31	2250
14	33	2227
15	35	2205
16	37	2196
17	40	2210
18	42	2193
19	44	2177
20	46	2164
21	48	2150
22	51	2183
23	53	2164
24	55	2145
25	57	2150
26	59	2150
27	61	2135
28	63	2123
29	66	2144
30	69	2160
31	72	2191
32	74	2194
33	76	2182
34	78	2169
35	80	2158
36	82	2144
37	84	2137
38	86	2139
39	88	2132
40	90	2128
41	93	2139
42	95	2136
43	98	2148
44	100	2137
45	102	2127
46	104	2121
47	106	2111
48	108	2106
49	111	2115
50	113	2106
51	115	2098
52	116	2088
53	118	2082
54	120	2075
55	122	2066
56	124	2061
57	126	2057
58	128	2050
59	130	2042
60	132	2035
61	134	2029
62	136	2024
63	137	2018
64	139	2010
65	141	2006
66	143	2000
67	145	1994
68	147	1986
69	149	1982
70	151	1982
71	153	1978
72	155	1974
73	157	1968
74	159	1967
75	161	1964
76	163	1964
77	165	1957
78	167	1952
79	170	1955
80	172	1956
81	174	1950
82	176	1945
83	177	1939
84	179	1934
85	181	1931
86	183	1926
87	185	1922
88	187	1919
89	189	1919
90	192	1920
91	194	1918
92	196	1914
93	198	1910
94	200	1905
95	201	1900
96	203	1896
97	205	1891
98	207	1886
99	209	1881
100	210	1877
101	212	1872
102	214	1869
103	216	1866
104	218	1862
105	220	1862
106	222	1858
107	224	1854
108	226	1852
109	228	1849
110	230	1845
111	232	1842
112	234	1838
113	236	1835
114	238	1832
115	240	1829
116	241	1825
117	243	1821
118	245	1819
119	247	1818
120	249	1814
121	251	1810
122	253	1807
123	255	1803
124	257	1799
125	259	1797
126	261	1794
127	263	1792
128	265	1789
129	266	1786
130	268	1783
131	270	1780
132	272	1778
133	274	1775
134	276	1771
135	278	1769
136	280	1765
137	282	1763
138	284	1759
139	285	1756
140	287	1753
141	289	1751
142	291	1748
143	293	1744
144	295	1741
145	297	1738
146	299	1735
147	300	1732
148	302	1729
149	304	1726
150	306	1723
151	308	1720
152	310	1717
153	312	1714
154	313	1711
155	315	1709
156	317	1706
157	319	1703
158	321	1700
159	323	1698
160	325	1695
161	327	1692
162	329	1689
163	331	1687
164	332	1684
165	334	1681
166	336	1679
167	338	1676
168	340	1673
169	342	1671
170	344	1667
171	346	1665
172	347	1662
173	349	1660
174	351	1657
175	353	1655
176	355	1652
177	357	1649
178	359	1647
179	361	1645
180	363	1642
181	364	1639
182	366	1636
183	368	1633
184	370	1631
185	372	1628
186	374	1626
187	376	1624
188	377	1621
189	379	1618
190	381	1616
191	383	1614
192	385	1612
193	387	1609
194	389	1607
195	391	1605
196	393	1603
